other_atom,RNA_atom,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
388_nMg,403_nMg_nMg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.970201596750067,8.633066556620852,8.167020746549136,8.500596328327845,7.056547106536496,7.793394144003141,7.261871372820499,8.21025546251205,7.154648062825809,7.379793716330347,7.655348041726791,6.6235991380957,8.25733314768578,,9.323160638121978,9.01465895261909,8.299591796690041,8.466062607384993,8.616977628603678,8.95512242502216,,7.549789654776905,7.267488503194455,7.729154373456029,7.798538012031409,7.541421519431464,7.8226993114121015,9.490590738721185,8.006993016186447,8.094212389251537,7.507658806925049,8.211205531645733,7.139133885332179,8.252423327669918,8.41773330227897,8.424574381944279,8.07441841359695,8.40346233570708,8.073548376031814,8.351852860153913,6.945852426634059,7.950742530908499,7.883542914134666,9.89442004599195,9.412879400150706,9.52413561708116,,,,9.786215254446565,9.676725754688873,9.964329819799561,,9.817411008932572,9.596604643259175,9.629848523643984,,9.427157034585061,8.518900154329524,8.921172766699565,8.89663998978357,9.648088071195588,,9.983452090657858,,8.986477797210568,9.64784583261184,9.536485562014661,9.084152445564815,,7.401181766512266,,9.37862403411382,,,,8.380222064596671,9.644147769135923,,8.757110762956641,8.326310434317667,8.10848611688719,7.907425263538236,8.645650286027868,8.87613124336422,9.941017113857477,,9.334112147219189,,9.279462584826968,9.159190598585784,8.994363566008074,8.995768607698931,,9.075869782842773,,,,,,,,,,,,9.36284025650473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388_nMg,407_nMg_nMg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.39886205685659,9.44752426081672,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.529026270083849,9.614626487875235,,8.377840722534993,9.133365351513547,,9.742270309799943,8.36358896640052,9.81786036436041,8.788849693785886,,,,9.23901628113911,,,9.280637289363689,9.662624019708504,9.911289521663354,,7.898506785192175,8.743640631656008,8.436536019128203,8.338357983769196,9.886282914529401,,9.192502371580337,,9.234287838395762,,,9.606515155887429,,,,9.934560892867763,,9.895313374720395,9.986644329540017,,,,,9.571839196345579,,8.125151867617674,9.855796697903877,9.507952956221283,8.763853816915537,9.231860673979114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388_nMg,414_nMg_nMg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.41023162689881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388_nMg,426_nMg_nMg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.808038781819578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388_nMg,429_nMg_nMg,,,,,,,,8.229177310897393,7.922218305062529,,,,,,,8.753267677628791,8.619674916647021,8.339454685953235,8.225562308007635,7.986178477003033,7.59653643932723,7.992210843605388,9.504092094191638,,,9.262590730184295,,,,9.27072229703735,7.568169574089034,8.73225231949139,9.329462068857051,8.034235764937312,,,,8.701093599273793,7.164528992760907,,8.45732569966386,9.045748807003585,8.94805707197156,,9.065331913814196,,,9.98796837099793,,,,,,7.896485369774074,9.767017057438013,,,,,,,,,,,,,,,,,,,,,,,,,,,9.795227481641652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.795231699943141,9.31611781267735,,,,,,,,,,8.806203614846103,7.491359284631747,8.960746017043823,,,,,9.31383656933163,8.618584145717918,9.305730289580785,7.572788849096453,9.807984797401373,9.572507165863225,9.575650165942049,9.797128719853458,9.418535823505948,9.774452498809971,9.495650547112959,9.61517974093741,9.458370743799106,9.689577963425487,9.831979289534337,9.517805792266007,,,,,9.340733934299607,9.510517210149873,7.735894231836862,,,,8.299008022178459,8.59253498541543,,,8.101524750278248,9.73902575873572,9.905064941320612,,9.721691149092969,8.789515358216208,,9.039703572710728,8.835769568681986,,,,,8.074487904641511,8.087527714248106,8.92813130926785,8.298382079712127,9.85576390543648,,8.551796763982841,7.451765236452238,,,9.975025407290715,9.314398738768071,,9.418396499525109,9.37007701428398,,9.432731724097257,,7.4096841413175705,8.220687605434819,8.262855293376237,7.775768513204671,9.023004323854792,8.175210067854023,9.77919771110861,9.912377097567392,,,9.909320675901329,8.89663381011769,8.9274466527915,8.237231479899366,9.876726612783987,9.608358092994647,9.955902753490221,9.709150892388452,,9.71203136792788,7.627522356503108,8.393229057768,6.875307349393427,7.3716841962472275,7.440252737524434,7.985426070188898,9.071428428022966,9.294951438093577,9.139920480961099,9.283976550464923,,,8.946987345680043,,,9.244422649230899,9.129033609190461,8.993796741064884,,,9.283362009020168,9.795852351449845,9.8656758881113,,9.738630487865242,,9.641046345195509,,9.305655563246107,,9.919231755380862,9.57604718643875,,,7.361329783635651,9.564708909235486,9.019689197894143,,9.234957833366526,9.625938261085727,8.931609506584161,8.698845284820147,9.037100950460188,,,,,8.708165506677096,7.761033863698012,,8.252528769819726,8.356547719168557,,,,9.716207751279615,8.622221880235191,,8.180422180114604,8.677683822458818,7.744217509567571,7.925775185729062,7.099888644975647,,9.241621409958764,,9.453592377376001,,,,8.933998440675744,8.76584593418032,8.962685811612264,8.253031576721321,,,,9.617032008942783,8.418881941214703,7.049811050432289,6.894604554483991,8.459191948502372,6.347996551880373,6.468115968382309,6.780851703315618,7.217529216632627,7.4567084713511536,7.524727878313418,9.840841102459986,9.475062074031724,8.781829776612396,7.92228901631567,8.957055145891484,8.095809853299123,8.887899961532485,8.815589879414686,8.983161690138465,7.833378736360511,8.808435999299675,8.68547722877254,7.2178651113171215,7.831271076487135,8.4781818622299,8.664353890307671,9.632698306079565
388_nMg,436_nMg_nMg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.874454025217105,7.542903304256943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388_nMg,452_nMg_nMg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3239261670264435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388_nMg,453_nMg_nMg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74484972757924,,,,,,,,,,,,,,,,,,9.74687905154122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.73727950612949,,,,,,,,,,,,,,,,9.879222487447937,,,,,,,,,,,,,,,,,,9.994732678617936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.404219164939168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388_nMg,464_nMg_nMg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.413198290290179,8.451234172486666,8.078793771030073,,,,9.59517377475305,,8.891685553111282,6.794532123942511,7.449726541473904,6.527666064459662,7.096844195644188,6.361415414559275,7.329438880316134,7.183158094341256,6.615342598696774,5.929233051384707,7.500615612776169,8.621863940641267,7.638344597158472,5.618630844531828,5.819659197990884,6.145544830983577,6.431307824344817,6.295619739489257,5.668865577949866,5.986683959386428,5.7450558675519945,6.106167008388632,8.151501267379755,9.780168418667415,7.002164929941185,7.006149339923588,,,,,,,,8.715065603603193,7.587510935025692,6.871171349841897,8.047261776192913,6.506485795274314,6.813111072316995,6.153702674121937,7.374420865167259,7.4503449463165765,6.896688002211914,7.682578882094463,9.20485720455471,8.071462674826545,8.560240590832631,8.871163979240016,8.383362067071825,7.972518292294585,7.746464745600048,7.926391662180551,8.94412350949342,8.253260206496735,9.164849423720646,9.547662392663947,9.382351401972658,9.453270028526822,9.443768840336022,7.918900033629609,9.663942810668665,9.183687118008585,9.386870546263962,8.137367629780087,8.980251066270554,7.412453520015691,7.2750946031962735,7.472488459013241,7.375339463236831,8.806899290968195,,9.420593666017162,9.732419853560124,8.670937349831805,9.115573957601177,9.302009882688255,8.353587456794571,9.857615796016185,7.597030681518067,8.770592765399831,9.536150988823728,9.045136593242011,9.34886656701591,9.40739207002964,6.4077599166131805,7.184853270764296,7.2364768439553036,8.686749832082581,8.772868094075799,8.495728863825878,8.673376542963396,,,,,9.303621680181443,9.424259789956228,9.046252510813547,7.693458590775485,9.7100003663001,8.89107422737052,9.253357248878517,9.496689037460904,9.372078963129363,7.593969841958881,8.028134901392951,7.313295036968788,9.027827966963615,8.559350207411283,9.387632449197303,9.430948058259201,9.118302669913371,,9.446141996348192,9.095075835787572,8.952882425324326,9.192105289205735,7.432596027039803,8.639835806244076,8.505322051052143,9.330337042585281,8.793590534627324,9.418433728479533,9.691948747311631,9.066623940033814,9.004182074146174,7.9748913512691075,8.53411626674747,7.850487129435922,,,,,,,,9.765244173411794,9.89747289172697,8.607565583054523,,,,,,,8.177612046794264,9.823794446566529,,8.342110225648232,8.435615393598043,6.379098477258061,7.43370351821861,8.626442988905193,9.923069699588343,9.024241064504805,9.98607710030574,9.255527613799979,8.018714585706869,9.325628668369195,8.230438195681572,,8.8899706782073,,9.353035700809112,8.775052208600055,,,9.351874850037236,9.907365120733425,7.757543333826022,9.513632281508265,9.575595574661843,9.3978772854916,,9.868503767045393,8.542434971302185,8.36892590458232,,,,8.115496995303154,9.23170508874458,8.055551014442987,8.835693097448724,,9.675932702786035,,8.850989896023673,8.063344812438812,8.830879643006117,8.991149911138521,7.884140516651972,,8.708904688146195,8.204492685557863,6.726017259610381,,9.117609131998668,8.78039121066037,9.330278796219076,8.667302411152885,9.581263625635344,,9.607409667879356,,,,8.837861577014746,8.216524912294783,,7.01552984609822,8.280630217987943,8.291190314576298,8.727091744380122,8.626535390031426,8.88835738606538,,9.45046785716849,,9.992082443259083,8.921122250548695,7.678494900401263,8.844597503851716,9.053800136461062,,,9.0623685690622,,9.326156143714615,8.54519810286469,8.52423385483283,9.913995036880468,,9.912905352938244,8.956184868145552,9.87627310259352,,9.778965412135163,,8.507109416632634,,9.69035173634031,,,9.916969573824892,9.750773535329623,9.85237844385988,9.75998440048858,8.21330806571788,7.021337691498056,8.599409004369216,9.426102697513734,6.455532892606171,9.67288687433629,,8.862536225031537,,7.492468236381355,9.538737881297523,9.323359467186568,9.137457764031351,8.732735710392804,9.219744168629715,9.866273732947562,,,9.371897646961665,7.927002299235427,9.73661094397005,9.546529207298628,,9.885916190360003,9.057585721877034,9.403437362224178,,,9.518695900475759,9.219199586699808,9.856225942014857,,8.49453571832731,,,,,,,,,,,,,,8.05835271874793,,,,,9.233041949409325,8.800202845240491,8.760934173920534,8.630837220649086,8.71382683909422,8.46438378519315,,,8.84075024503413,8.234423153679973,8.416024925595773,7.178339820937904,7.284975293313408
389_nMg,420_nMg_nMg,8.670086661213102,,9.82768414126384,9.87461724876009,8.420776900567963,8.321170470225827,8.61924028150239,8.247176129587988,8.141664127908275,8.039213562624841,8.399532435301921,8.455774440629094,8.524473286593263,8.355361826263602,8.418699274765922,8.853952324582673,8.597640612838564,8.269810049172564,7.9131117528452295,8.213006137992782,8.459321531284882,9.08674518026891,8.844042197604352,8.655097000256966,8.283859918489078,8.642486401538601,8.729004716832454,8.239751578357426,8.826902812734883,8.768258346672818,8.464178075728443,8.397465814467209,8.966724701589312,8.817129513421413,9.181611065682835,9.180539414821018,8.992822280412355,9.344520135908683,8.684223931074591,9.068160539556061,9.053001056379053,9.04268028998889,9.207751070911879,9.498260219732655,9.02772374076648,8.881360618669646,8.811436560732282,8.747893995032866,9.105436596839606,8.707419627576778,8.775714516439837,8.928393553501754,8.768123796714878,8.876535488789647,9.062512777405937,9.02465839921646,8.951794339744875,8.751668533507948,8.719240446316604,8.67445894492485,8.678581695898588,8.395630653539857,8.816576929037634,8.815873029770481,8.900000328020962,9.705875727488973,,,9.734530278589979,9.828812357820587,9.927679996113591,9.686363407453682,8.664251079868647,8.655487836638939,,9.54732505960739,8.705476367116296,,9.861611106421758,,9.647961633694347,,,9.932063774607316,,,9.931775140753945,,,9.90165400925887,,9.925702875235869,9.812204003286002,,,,9.756064542483895,,,,9.842424297698226,,,9.907572788084158,9.965208499368858,,,9.22235053631146,,9.860423243864362,9.665160827084337,8.668394449471787,9.76599720684867,9.939541266662044,9.299151953713311,9.885951330010858,,9.22878513615399,,,,8.188712414356665,,,9.83683417728346,9.717263686055785,9.561405653894118,,9.600635907943381,9.683327196782372,,,9.333609857747245,,9.970526519549606,9.805409165402653,9.740203661149181,,9.499028347044531,,8.273424419253658,9.660011410142548,9.790803068936496,9.861906807808174,,9.994832489931138,,,9.720688552770943,,,,9.98672699415571,,9.814264570407033,,,,,,,,9.873493803831668,,,9.49102662336331,9.698910468596718,,,9.690034563273377,9.706165515093229,,9.584149934174867,,,9.784458513210545,,,,,9.631029788390602,,9.910489094297068,,9.830845036152505,9.926583065216098,9.848861534952624,9.850623143473909,9.401423397873916,9.869057657633908,,9.490162109291147,,9.409214884310968,,,,9.90311213528302,,,,,,9.862436963292764,,,,9.367885098819855,,,,,,9.754408877928562,,,9.53603798557694,,9.677509191127337,,9.929340249692913,,9.693761920649495,,,,9.924080239221457,,8.582458574469312,9.733158866336854,9.529928776708196,9.40479402819728,,9.632028340332521,9.420868977832772,9.685553647051044,9.902891997052967,9.718495349570258,9.826323072374024,9.535751949092578,9.79571948843424,9.88897685689849,9.974647476811981,9.698907358760664,,9.29354971262517,9.947874438402986,9.897502889721288,8.974401655890432,9.92074234816779,9.729461250402684,9.752008644715993,,9.31637669419965,9.95228144069428,,,9.543313358525895,,9.981779071298371,9.766212862739522,9.786934389573364,9.666651403085918,,,9.785274803809589,,9.933839260680639,9.908304173835903,,9.657884730842055,,9.807467784444434,,9.434464599134023,,9.707513153761528,9.979450142639719,9.204949025762401,9.754473606598683,9.90211735537861,,9.65366341003429,,9.749591541001879,9.712420493765396,9.871368831099513,9.897906371933638,9.511147640500958,9.512999725647244,9.772477457551107,9.802653453609528,,9.998709713017185,9.677978760948157,9.739661083694687,9.796222491197609,9.96799938285444,9.898954876847222,9.612869508902744,,,,9.426588912643062,9.818217773123187,,,,,9.621357436007836,9.029754537975686,9.918399689009833,9.90682769724759,9.96250241651656,,9.871429433320449,9.58445163424735,9.965875718412274,,9.997568628264784,9.989193837949308,,9.61580568524721,,,9.782894918372874,9.960768042779195,8.351405787721946,9.571949815023913,9.460017702727946,9.800003173685004,9.974115068695227,9.827967847452273,9.980932968120095,9.713671472931225,9.937581707668686,8.022754315676647,9.753967523970925,9.964783372836102,,,,9.787640782436332,9.560054175539083,9.931526400193848,9.564089335987678,,9.840825725800395,9.900822422457301,9.676882570370845,9.843778274395357,,9.453614354097372,,,8.79795856588286,,,,,,9.557108060628737,9.460933910486776,9.719049316912072,9.580352432196658,9.591488018389715,,9.913196224195708,9.982667586699028,9.980351025361553,9.776982869679323,9.89004768030772,9.935973932006231,9.873904291128445,,9.893700383606712,9.615908207566608,,9.824046321720466,,9.644669030988371,,9.52679009556208,9.888564374613404,9.85534741662266,9.512358377731799,9.610041657071173,9.846791818341156,9.618056954463004,8.63772488494515,,9.724183516245308,,9.969325222915076,9.948787668863075,,9.859344105541318,,,9.537663895641552
